"batch"	"id"	"latitude"	"longitude"	"observed_on"	"body_color"	"crest_height"	"tentacle_number"	"thumb_ratio"	"clear"	"gap"	"pink_purple"	"image_type"	"juvenile"
"river1"	20286952	24.55162	-81.76908	"2019-02-11"	""	"H"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	144403724	-21.34455353	55.47056951	"2022-09-30"	""	"L"	"1"	"L"	""	""	"Y"	"L"	"N"
"river1"	95928927	-0.9364958593	-80.72591747	"2021-09-14"	"Y"	"L"	"2"	"L"	""	"Y"	"Y"	"D"	"N"
"river1"	60902811	-6.058459437	-35.0981738	"2020-09-26"	"R"	"L"	"M"	"L"	""	""	"Y"	"V"	"N"
"river1"	171198078	-31.70176667	115.7051083	"2023-07-05"	""	"L"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	15343061	16.70242858	-22.97470171	"2018-02-25"	""	"L"	""	"L"	""	""	"Y"	"D"	"N"
"river1"	19319894	9.403850786	-79.86335378	"2018-12-30"	""	"L"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	21742381	-29.98051582	-71.3521326	"2014-08-31"	""	"L"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	50613980	27.54888	-97.237436	"2020-06-22"	"R"	"L"	"M"	"L"	""	""	"Y"	"D"	"N"
"river1"	10295555	9.635677311	-79.5630134	"2018-03-17"	""	"M"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	117699379	-38.42010485	142.3262708	"2022-05-19"	""	"M"	"1"	"L"	""	""	"Y"	"D"	"N"
"river1"	35827010	39.37383542	-9.328187688	"2019-11-18"	""	"M"	""	"L"	""	""	"Y"	"L"	"N"
"river1"	148612607	24.70384216	-81.15516663	"2023-02-12"	"R"	"M"	"M"	"L"	""	""	"Y"	"L"	"N"
"river1"	92609294	-34.0751136	151.0558127	"2009-04-05"	"Y"	"L"	"1"	"M"	""	"Y"	"Y"	"D"	"N"
"river1"	19586966	-14.98761667	-38.99805833	"2019-01-12"	"R"	"L"	"1"	"M"	""	""	"Y"	"L"	"N"
"river1"	63825907	49.95583333	-6.339	"2020-10-30"	""	"L"	"1"	"M"	""	""	"Y"	"L"	"N"
"river1"	19165770	14.45848451	-60.81689999	"2011-06-08"	""	"L"	""	"M"	""	""	"Y"	"L"	"N"
"river1"	20179337	-28.37988	32.42638	"2017-09-17"	"Y"	"L"	""	"M"	""	""	"Y"	"L"	"N"
"river1"	34818922	20.39502807	-87.31509057	"2012-05-11"	"R"	"L"	""	"M"	""	""	"Y"	"L"	"N"
"river1"	36992086	12.51385403	-81.71472931	"2019-12-26"	"R"	"L"	""	"M"	""	""	"Y"	"D"	"N"
"river1"	65253356	27.42728418	-97.29600339	"2020-11-19"	""	"L"	""	"M"	""	""	"Y"	"P"	"N"
"river1"	21025841	26.77283176	-80.04363343	"2019-03-07"	""	"L"	""	"M"	""	""	"Y"	"P"	"N"
"river1"	137888643	25.8229168	-97.1548077	"2021-08-19"	""	"M"	""	"M"	""	""	"Y"	"D"	"N"
"river1"	19266531	10.34955111	-60.97544669	"2018-12-24"	""	"M"	""	"M"	""	""	"Y"	"D"	"N"
"river1"	20190998	10.57043748	-83.51422949	"2019-02-07"	""	"M"	""	"M"	""	""	"Y"	"L"	"N"
"river1"	34904768	18.36573675	109.7518172	"2016-01-31"	"Y"	"M"	""	"M"	"Y"	""	"Y"	"L"	"N"
"river1"	65155311	50.1281661	-5.487884	"2020-11-18"	""	"M"	""	"M"	""	""	"Y"	"L"	"N"
"river1"	103264149	26.03841667	-80.11323617	"2021-12-18"	"R"	"M"	"M"	"M"	""	""	"Y"	"L"	"N"
"river1"	38862559	-34.34987566	150.9203713	"2018-01-29"	"Y"	"M "	"2"	"M"	""	""	"Y"	"L"	"N"
"river1"	9759415	-34.063882	151.156474	"2018-02-07"	"Y"	"H"	"1"	"S"	"Y"	"Y"	"Y"	"L"	"N"
"river1"	28575834	18.85829663	-68.6302269	"2016-10-05"	"R"	"H"	"2"	"S"	""	""	"Y"	"L"	"N"
"river1"	107383632	26.12051739	-80.10457708	"2022-02-24"	""	"H"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	144669398	38.26709577	-28.356939	"2017-06-13"	"R"	"H"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	1091816	12.948725	-16.745478	"2008-06-13"	"R"	"H"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	18570120	23.19090381	-81.17582636	"2010-01-04"	""	"H"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	22662209	11.3064409	-74.0657561	"2016-04-18"	"R"	"H"	"M"	"S"	""	""	"Y"	"P"	"N"
"river1"	149148478	21.30903667	-89.543725	"2023-02-19"	"R"	"H"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	453567	17.742932	-88.027954	"2013-05-06"	""	"H"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	20374719	25.92047167	-80.121125	"2019-02-10"	"R"	"H"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	30904269	10.26828804	-60.9986418	"2013-05-02"	""	"H"	""	"S"	""	""	"Y"	"P"	"N"
"river1"	102508994	26.13428617	-80.1025555	"2021-12-03"	""	"H"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	69637488	25.80685183	-80.12243982	"1986-07-08"	""	"H"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	104089663	-33.90475789	151.2686808	"2022-01-01"	""	"L"	"1"	"S"	"Y"	"Y"	"Y"	"D"	"N"
"river1"	149013983	13.3698106	144.7708714	"2023-02-18"	""	"L"	"1"	"S"	"Y"	"Y"	"Y"	"L"	"N"
"river1"	132967232	-24.99899571	153.1260643	"2007-03-08"	""	"L"	"2"	"S"	""	""	"Y"	"P"	"N"
"river1"	28589982	-3.636589643	-80.6049202	"2019-07-10"	"Y"	"L"	"2"	"S"	""	"Y"	"Y"	"D"	"N"
"river1"	104129629	28.95868422	-95.27544838	"2022-01-01"	""	"L"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	151867001	-31.44265264	152.9260051	"2023-03-22"	"Y"	"L"	"M"	"S"	""	"Y"	"Y"	"D"	"N"
"river1"	5426125	10.37938667	-61.01493612	"2014-04-25"	""	"L"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	8532723	43.92955	-59.972992	"2017-07-05"	""	"L"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	37104771	-28.25503469	-48.67276913	"2013-12-28"	""	"L"	""	"S"	""	""	"Y"	"D"	"N"
"river1"	5438297	19.27793158	-81.25574203	"2012-03-09"	"R"	"L"	""	"S"	""	""	"Y"	"D"	"N"
"river1"	63762167	48.557744	-5.065690299	"2020-10-29"	""	"L"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	9823113	27.188252	-80.16027206	"2018-02-11"	"R"	"L"	""	"S"	""	""	"Y"	"V"	"N"
"river1"	107554014	24.65597833	-81.27757167	"2022-02-26"	"R"	"L"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	45519095	25.86056704	-80.12349386	"2018-12-24"	""	"M"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	115185530	27.76312391	-18.12206659	"2022-04-21"	""	"M"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	40847	10.3960658	-83.4856913	"2006-03-01"	""	"M"	"M"	"S"	""	""	"Y"	"D"	"N"
"river1"	36474823	26.58546638	-80.03786469	"2019-12-08"	"R"	"M"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	152546393	-11.12436389	-37.138225	"2023-03-27"	""	"M"	""	"S"	""	""	"Y"	"D"	"N"
"river1"	25936299	27.71669667	-97.14136383	"2019-05-28"	"R"	"M"	""	"S"	""	""	"Y"	"L"	"N"
"river1"	36969778	25.70105	-80.1546555	"2019-12-26"	"R"	"M"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	146095853	25.711805	-80.15139717	"2023-01-06"	"R"	"M"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	81005076	27.67392167	-97.16846333	"2021-03-16"	""	"N"	"M"	"S"	""	""	"Y"	"L"	"N"
"river1"	25233188	23.56398756	-79.80467977	"2019-02-06"	"R"	"H"	"M"	""	""	""	"Y"	"L"	"N"
"river1"	4291846	51.56555898	-9.012971041	"2016-10-07"	""	"N"	"M"	""	""	""	"Y"	"D"	"N"
"river1"	169684498	37.86872672	-8.793385886	"2023-06-26"	""	"N"	""	""	""	""	"Y"	"D"	"N"
"river1"	4192134	51.55989251	-8.975996127	"2016-09-24"	""	"N"	""	""	""	""	"Y"	"L"	"N"
"river1"	35152490	-2.486535713	-44.28733698	"2007-09-09"	""	""	"M"	""	""	""	"Y"	"L"	"N"
"river1"	7913824	16.0950108	-22.8078335	"2006-04-06"	""	""	""	""	""	""	"Y"	"P"	"N"
"river1"	139380089	-36.1123866	173.8814286	"2022-10-20"	""	"H"	"1"	"L"	""	""	""	"L"	"N"
"river1"	21939834	15.676785	73.706369	"2019-04-02"	""	"H"	""	"L"	""	"Y"	""	"L"	"N"
"river1"	105538445	13.4276941	144.7991147	"2022-01-25"	""	"L"	"1"	"L"	"Y"	""	""	"L"	"Y"
"river1"	37668898	10.65095061	-61.03974388	"2020-01-11"	"R"	"L"	"1"	"L"	""	""	""	"D"	"N"
"river1"	116538931	-43.086794	147.675493	"2022-01-08"	""	"L"	"2"	"L"	""	""	""	"M"	"N"
"river1"	138682697	-29.01039693	167.9230575	"2022-10-14"	""	"L"	"M"	"L"	""	""	""	"L"	"N"
"river1"	111168684	-38.43597622	144.1332436	"2022-04-08"	""	"L"	"M"	"L"	""	""	""	"L"	"N"
"river1"	17055551	-21.65907348	165.3823266	"2018-09-30"	""	"L"	"M"	"L"	""	"Y"	""	"L"	"N"
"river1"	17056874	-21.75062869	165.3102836	"2018-09-30"	""	"L"	"M"	"L"	""	""	""	"L"	"N"
"river1"	20361984	-35.09561083	150.6168771	"2019-02-15"	""	"L"	"M"	"L"	""	""	""	"D"	"N"
"river1"	36280840	-36.88795593	-73.15241816	"2019-11-28"	""	"L"	"M"	"L"	""	""	""	"L"	"N"
"river1"	59627922	-37.80480228	174.8581342	"2020-09-15"	""	"L"	""	"L"	""	""	""	"L"	"N"
"river1"	62464115	-22.33637995	166.4086001	"2020-10-09"	""	"L"	""	"L"	""	""	""	"L"	"N"
"river1"	16924259	-26.39885157	153.1149572	"2018-09-26"	""	"M"	"1"	"L"	""	""	""	"D"	"N"
"river1"	33721351	-23.7930556	35.5180556	"2018-12-17"	""	"M"	"1"	"L"	""	""	""	"L"	"N"
"river1"	105384389	-29.94854389	-71.29521054	"2022-01-22"	""	"M"	""	"L"	""	""	""	"M"	"N"
"river1"	25988240	-40.45622833	175.2157	"2019-05-26"	""	"M"	""	"L"	""	""	""	"L"	"N"
"river1"	32703273	-33.6174213	18.4441106	"2019-09-14"	""	""	""	"L"	""	""	""	"P"	"N"
"river1"	61646241	23.17566107	-82.18118942	"2014-04-13"	"R"	""	""	"L"	""	""	""	"L"	"N"
"river1"	131947524	38.80286667	-27.25728056	"2022-04-22"	""	"H"	""	"M"	""	""	""	"L"	"N"
"river1"	104453923	-31.624225	152.8341667	"2022-01-06"	""	"L"	"1"	"M"	""	"Y"	""	"D"	"N"
"river1"	104453951	-31.608235	152.8405333	"2022-01-06"	""	"L"	"1"	"M"	""	"Y"	""	"D"	"N"
"river1"	18363133	-46.90513062	167.7685415	"2018-11-06"	""	"L"	"1"	"M"	""	""	""	"D"	"N"
"river1"	27429047	-12.962005	-38.39763333	"2019-06-22"	"Y"	"L"	"1"	"M"	"Y"	"Y"	""	"D"	"N"
"river1"	5376809	29.19305	-80.98932833	"2017-03-16"	""	"L"	"2"	"M"	""	""	""	"D"	"N"
"river1"	9745094	-40.8275793	173.0060863	"2018-01-07"	""	"L"	"2"	"M"	""	""	""	"L"	"N"
"river1"	30539081	-33.35594897	18.1535507	"2019-08-10"	""	"L"	"M"	"M"	""	""	""	"L"	"N"
"river1"	147741383	-32.43522961	152.5315515	"2023-01-29"	""	"L"	"M"	"M"	"Y"	""	""	"D"	"N"
