status	ID	specimen_ID	YCGA_ID	diss_tube_ID	date_seq
sequenced	YPM-IZ-104464	Guam_104464	NA24		12/23/22
sequenced	YPM-IZ-104465	Guam_104465	NA22		12/23/22
sequenced	YPM-IZ-106920	Japan_3	3gDNA		2/23/23
sequenced	YPM-IZ-106923	Japan_6	6gDNA		2/23/23
sequenced	YPM-IZ-106943	Bermuda_67, P8	67		2/23/23
sequenced	YPM-IZ-106954	Bermuda_94, P13	94		2/23/23
sequenced	YPM-IZ-110251	22-VK-02	YDM_110251		2/23/23
sequenced	YPM-IZ-110254	22-VK-05	YDM_110254		2/23/23
sequenced	YPM-IZ-104460	Guam_104460	G104460		4/18/23
sequenced	YPM-IZ-104461	Guam_104461	G104461		4/18/23
sequenced	YPM-IZ-106919	Japan_2	2gDNA		4/18/23
sequenced	YPM-IZ-106935	TX2016_043	13TX		4/18/23
sequenced	YPM-IZ-106936	TX2016_046	42TX		4/18/23
sequenced	YPM-IZ-106937	TX2016_048	59TX		4/18/23
sequenced	YPM-IZ-106941	Bermuda_63, P2	63		4/18/23
sequenced	YPM-IZ-106944	Bermuda_68, P3	68gDNA-KD		4/18/23
sequenced	YPM-IZ-106958	TX2017_028	8TX		4/18/23
sequenced	YPM-IZ-110264	SHC05	110264		4/18/23
sequenced	YPM-IZ-110268	SHC09	110268		4/18/23
sequenced	YPM-IZ-110269	SHC10	110269		4/18/23
sequenced	YPM-IZ-110276	SHC17	110276		4/18/23
sequenced	YPM-IZ-110277	SHC18	110277		4/18/23
sequenced	YPM-IZ-110278	SHC19	110278		4/18/23
sequenced	YPM-IZ-110876	TX2017_038	16TX	16	4/18/23
sequenced	YPM-IZ-110877	GulfofCalifornia_6	GoCJUN6		4/18/23
sequenced	YPM-IZ-110432	KBW-01	110432		5/28/23
sequenced	YPM-IZ-110433	KBW-02	110433		5/28/23
sequenced	YPM-IZ-110438	SHCTX001	110438		5/28/23
sequenced	YPM-IZ-110443	SHCTX006	110443		5/28/23
sequenced	YPM-IZ-110467	Breaker Bay-1	110467		5/28/23
sequenced	YPM-IZ-110468	Breaker Bay-2	110468		5/28/23
sequenced	YPM-IZ-110469	Breaker Bay-3	110469		5/28/23
sequenced	YPM-IZ-110471	Kailua-8	110471		5/28/23
sequenced	YPM-IZ-110474	Lanikai-0	110474		5/28/23
sequenced	YPM-IZ-110480	Lanikai-6	110480		5/28/23
sequenced	TMAG-K5632		KM5632		6/18/23
sequenced	TMAG-K5633		KM5633		6/18/23
sequenced	TMAG-K5634		KM5634		6/18/23
resequenced	YPM-IZ-110269	SHC10	110269		6/26/23
resequenced	YPM-IZ-110469	Breaker Bay-3	110469		6/26/23
resequenced	YPM-IZ-110877	GulfofCalifornia_6	GoCJUN6		6/26/23
sequenced	YPM-IZ-110460	Kailua-1	110460		8/17/23
sequenced	YPM-IZ-110470	Breaker Bay-4	110470		8/17/23
sequenced	YPM-IZ-110515		110515		8/17/23
sequenced	YPM-IZ-110520		110520		8/17/23
sequenced	YPM-IZ-110526		110526		8/17/23
sequenced	YPM-IZ-110556	LA001	110556		8/17/23
sequenced	YPM-IZ-110557	LA002	110557		8/17/23
sequenced	YPM-IZ-110558	LA003	110558		8/17/23
sequenced	YPM-IZ-110566	Phys1	110566		8/17/23
sequenced	YPM-IZ-110602	I2T01002	110602		8/17/23
sequenced	YPM-IZ-110605	KP001	110605		8/17/23
sequenced	YPM-IZ-110612	KP007	110612		8/17/23
sequenced	YPM-IZ-110613	KP008	110613		8/17/23
sequenced	YPM-IZ-110616	KP011	110616		8/17/23
sequenced	YPM-IZ-110882	HI23BW5-1	HI23BW5-1		8/17/23
sequenced	TMAG-K5635		KM5635		8/19/23
sequenced	TMAG-K5636		KM5636		8/19/23
sequenced	YPM-IZ-110473	Kailua-10	110473		8/19/23
sequenced	YPM-IZ-110569	Phys10	110569		8/19/23
sequenced	YPM-IZ-110574	Phys18	110574		8/19/23
sequenced	YPM-IZ-110600	Blank Lid	110600		8/19/23
sequenced	WAM-Z88480		Z88480		9/14/23
sequenced	WAM-Z97900	WA 1	Z97900		9/14/23
sequenced	WAM-Z97901	WA 2	Z97901		9/14/23
sequenced	WAM-Z97903	WA 4	Z97903		9/14/23
sequenced	WAM-Z97906	WA 7	Z97906		9/14/23
sequenced	WAM-Z97920	NSW l.p.	Z97920		9/14/23
sequenced	WAM-Z97921	1	Z97921		9/14/23
