status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	FM16644			NE Atlantic	Canary Islands	La Palma	28.591940, -17.920910	5/14/2023		28.59194, -17.92091	Tauana Cunha, Juan Moles	
moderate quality	KM5632			SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		-41.8639, 148.2865	N. G. Wilson	
moderate quality	KM5633			SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		-41.8639, 148.2865	N. G. Wilson	
moderate quality	KM5634			SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		-41.8639, 148.2865	N. G. Wilson	
moderate quality	KM5635			SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		-41.8639, 148.2865	N. G. Wilson	
moderate quality	KM5636			SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		-41.8639, 148.2865	N. G. Wilson	
high quality	WAMZ88480			E Indian	Western Australia	Peasholm Dog Beach, Scarborough	-31.908144, 115.754811	8/3/2018	NA	-31 54`29.32"S, 115 45`17.32"E	K. Tullis	
high quality	WAMZ97900			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 1	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97901			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 2	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97902			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 3	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97903			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 4	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97906			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 7	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
