pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
ATLANTIC	scaffold1	1	500000	0.00848905793506422	2430	308	36282	40102
ATLANTIC	scaffold1	500001	1000000	0.0021811685523965155	6479	315	144418	38506
ATLANTIC	scaffold1	1000001	1500000	0.002862856541416693	1806	136	47505	3987
PACIFIC	scaffold1	1	500000	0.00970934407292935	2659	622	64062	12322
PACIFIC	scaffold1	500001	1000000	0.002747538830013057	5682	343	124839	58085
PACIFIC	scaffold1	1000001	1500000	0.004790131017738796	1839	219	45719	5773
ATLANTIC	scaffold2	1	500000	0.016657751967601435	3936	1526	91609	19355
ATLANTIC	scaffold2	500001	1000000	0.0	525	0	13355	1345
PACIFIC	scaffold2	1	500000	0.01291911575829921	2748	855	66181	44783
PACIFIC	scaffold2	500001	1000000	0.0014298359093075509	525	21	14687	13
ATLANTIC	scaffold3	1	500000	0.0023475628590844504	8748	532	226618	20034
ATLANTIC	scaffold3	500001	1000000	0.015361286919831223	1188	466	30336	3040
PACIFIC	scaffold3	1	500000	0.009824642515108483	6174	1190	121124	125528
PACIFIC	scaffold3	500001	1000000	0.02570218856222792	777	431	16769	16607
ATLANTIC	scaffold4	1	500000	0.0043829109653739234	7722	812	185265	31679
ATLANTIC	scaffold4	500001	1000000	0.0013604320402358081	886	33	24257	663
PACIFIC	scaffold4	1	500000	0.004316816816816817	6075	621	143856	73088
PACIFIC	scaffold4	500001	1000000	0.015324640408657077	570	228	14878	10042
ATLANTIC	scaffold5	1	500000	0.005946586532357049	8635	843	141762	108838
ATLANTIC	scaffold5	500001	1000000	0.005857413812339618	1792	210	35852	14436
PACIFIC	scaffold5	1	500000	0.0058768521354981215	6286	729	124046	126554
PACIFIC	scaffold5	500001	1000000	0.00224808251785242	772	17	7562	42726
ATLANTIC	scaffold6	1	500000	0.004373095187468991	6692	617	141090	47574
ATLANTIC	scaffold6	500001	1000000	0.0005752728551111395	2254	36	62579	617
PACIFIC	scaffold6	1	500000	0.005684064479072647	5777	762	134059	54605
PACIFIC	scaffold6	500001	1000000	0.01604910642923367	2257	1004	62558	638
ATLANTIC	scaffold7	1	500000	0.0021795299949027122	4624	124	56893	74315
ATLANTIC	scaffold7	500001	1000000	0.009494474249834989	2389	561	59087	7861
PACIFIC	scaffold7	1	500000	0.0067568871985945675	3188	350	51799	79409
PACIFIC	scaffold7	500001	1000000	0.011318321426753321	2209	667	58931	8017
ATLANTIC	scaffold8	1	500000	0.0029360513689637886	7041	492	167572	31256
ATLANTIC	scaffold8	500001	1000000	0.006735066406495877	4769	856	127096	6660
PACIFIC	scaffold8	1	500000	0.008684945652893437	6579	1312	151066	47762
PACIFIC	scaffold8	500001	1000000	0.012948994428126737	4536	1327	102479	31277
