pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
PACIFIC	ATLANTIC	scaffold1	100001	600000	0.6019988810647882	152
PACIFIC	ATLANTIC	scaffold1	600001	1100000	0.5950499823857599	121
PACIFIC	ATLANTIC	scaffold1	1100001	1600000	0.6943699731903485	27
PACIFIC	ATLANTIC	scaffold2	1	500000	0.4244538384915058	219
PACIFIC	ATLANTIC	scaffold2	500001	1000000	-0.060987415295256545	3
PACIFIC	ATLANTIC	scaffold3	1	500000	0.5473959265604909	231
PACIFIC	ATLANTIC	scaffold3	500001	1000000	0.42662318832274077	94
PACIFIC	ATLANTIC	scaffold4	100001	600000	0.4444730473967868	210
PACIFIC	ATLANTIC	scaffold5	1	500000	0.34508776622272025	223
PACIFIC	ATLANTIC	scaffold5	500001	1000000	0.13916675941621434	32
PACIFIC	ATLANTIC	scaffold6	1	500000	0.4556394013931652	146
PACIFIC	ATLANTIC	scaffold6	500001	1000000	0.5996059317639738	116
PACIFIC	ATLANTIC	scaffold7	1	500000	0.5070446739132799	103
PACIFIC	ATLANTIC	scaffold7	500001	1000000	0.3944168884587467	116
PACIFIC	ATLANTIC	scaffold8	1	500000	0.676522001584567	269
PACIFIC	ATLANTIC	scaffold8	500001	1000000	0.535143999827146	268
PACIFIC	ATLANTIC	scaffold9	1	500000	0.6851236621382579	199
PACIFIC	ATLANTIC	scaffold10	100001	600000	0.5440660846297143	243
PACIFIC	ATLANTIC	scaffold11	1	500000	0.6439602812909547	158
PACIFIC	ATLANTIC	scaffold12	1	500000	0.4533466907711628	177
PACIFIC	ATLANTIC	scaffold12	500001	1000000	0.29637094634301464	54
PACIFIC	ATLANTIC	scaffold13	1	500000	0.9011976047904192	16
PACIFIC	ATLANTIC	scaffold13	500001	1000000	0.7634644605774101	15
PACIFIC	ATLANTIC	scaffold14	100001	600000	0.43890715000010827	50
PACIFIC	ATLANTIC	scaffold15	1	500000	0.6578113984703433	141
PACIFIC	ATLANTIC	scaffold16	1	500000	0.6397858246544392	159
PACIFIC	ATLANTIC	scaffold16	500001	1000000	NA	3
PACIFIC	ATLANTIC	scaffold17	1	500000	0.4923746370165472	35
PACIFIC	ATLANTIC	scaffold18	1	500000	0.8410058578665327	98
PACIFIC	ATLANTIC	scaffold19	1	500000	0.651661957934193	332
PACIFIC	ATLANTIC	scaffold20	100001	600000	0.6304816625827049	123
PACIFIC	ATLANTIC	scaffold21	1	500000	0.6509603751009642	102
PACIFIC	ATLANTIC	scaffold22	1	500000	0.7493813835173766	103
PACIFIC	ATLANTIC	scaffold23	1	500000	0.6049865168651338	87
PACIFIC	ATLANTIC	scaffold24	1	500000	0.4106066076369011	98
PACIFIC	ATLANTIC	scaffold25	100001	600000	0.5641521648798631	177
PACIFIC	ATLANTIC	scaffold26	200001	700000	0.6901098901098901	19
PACIFIC	ATLANTIC	scaffold27	1	500000	0.6702317930438859	172
PACIFIC	ATLANTIC	scaffold27	500001	1000000	0.5778537907082925	13
PACIFIC	ATLANTIC	scaffold28	1	500000	0.7324270069927968	180
PACIFIC	ATLANTIC	scaffold29	1	500000	0.3032211070593357	259
PACIFIC	ATLANTIC	scaffold30	1	500000	0.45725254061370685	91
PACIFIC	ATLANTIC	scaffold30	500001	1000000	0.7643394945607415	162
PACIFIC	ATLANTIC	scaffold31	1	500000	0.7487365520452038	162
PACIFIC	ATLANTIC	scaffold32	1	500000	0.5502427584165466	297
PACIFIC	ATLANTIC	scaffold33	1	500000	0.2708715099059312	57
PACIFIC	ATLANTIC	scaffold34	100001	600000	0.5342052650153953	136
PACIFIC	ATLANTIC	scaffold35	100001	600000	0.7124681665276976	145
PACIFIC	ATLANTIC	scaffold36	1	500000	0.7496071246075077	37
PACIFIC	ATLANTIC	scaffold37	1	500000	0.34823139086494187	150
PACIFIC	ATLANTIC	scaffold38	100001	600000	0.5520362921290989	258
PACIFIC	ATLANTIC	scaffold39	1	500000	0.7992619565483029	32
PACIFIC	ATLANTIC	scaffold41	1	500000	0.8042163298494734	65
PACIFIC	ATLANTIC	scaffold42	1	500000	0.5580814140189474	201
PACIFIC	ATLANTIC	scaffold42	500001	1000000	0.5991852703058262	75
PACIFIC	ATLANTIC	scaffold43	1	500000	0.7890694098054996	66
PACIFIC	ATLANTIC	scaffold44	1	500000	0.7537413880345343	123
PACIFIC	ATLANTIC	scaffold46	200001	700000	0.6954439426607755	140
PACIFIC	ATLANTIC	scaffold47	1	500000	0.6689483575812836	40
PACIFIC	ATLANTIC	scaffold48	1	500000	0.708534353684911	40
PACIFIC	ATLANTIC	scaffold49	1	500000	0.695058107042628	155
PACIFIC	ATLANTIC	scaffold50	1	500000	0.48294866374094214	22
PACIFIC	ATLANTIC	scaffold51	1	500000	0.6160337317411892	127
PACIFIC	ATLANTIC	scaffold52	200001	700000	0.3957202171830087	5
PACIFIC	ATLANTIC	scaffold53	1	500000	0.5476007984839876	145
PACIFIC	ATLANTIC	scaffold54	1	500000	0.6540795493685181	225
PACIFIC	ATLANTIC	scaffold55	1	500000	0.32507913224593993	165
