pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
PACIFIC	ATLANTIC	scaffold1	1	500000	0.021601438792665285	2361	2210	102308	72284
PACIFIC	ATLANTIC	scaffold1	500001	1000000	0.006775259012505999	5628	1920	283384	134728
PACIFIC	ATLANTIC	scaffold1	1000001	1500000	0.013169363701822867	1806	1390	105548	12148
PACIFIC	ATLANTIC	scaffold2	1	500000	0.03067214558262401	2721	4598	149908	103724
PACIFIC	ATLANTIC	scaffold2	500001	1000000	0.0005641925777331996	525	18	31904	1696
PACIFIC	ATLANTIC	scaffold3	1	500000	0.01408877642469292	6113	4276	303504	260272
PACIFIC	ATLANTIC	scaffold3	500001	1000000	0.0368415909313007	773	1508	40932	35356
PACIFIC	ATLANTIC	scaffold4	1	500000	0.008429733970733131	6049	2772	328836	167036
PACIFIC	ATLANTIC	scaffold4	500001	1000000	0.021975479990747167	566	760	34584	22376
PACIFIC	ATLANTIC	scaffold5	1	500000	0.011208740053243333	5971	3082	274964	297836
PACIFIC	ATLANTIC	scaffold5	500001	1000000	0.005282834850455136	768	130	24608	90336
PACIFIC	ATLANTIC	scaffold6	1	500000	0.008787157025015811	5731	2612	297252	133980
PACIFIC	ATLANTIC	scaffold6	500001	1000000	0.01990704446186583	2254	2844	142864	1584
PACIFIC	ATLANTIC	scaffold7	1	500000	0.011346717798330701	3126	1006	88660	211244
PACIFIC	ATLANTIC	scaffold7	500001	1000000	0.018074439915503854	2207	2430	134444	18580
PACIFIC	ATLANTIC	scaffold8	1	500000	0.018368846436443792	6519	6300	342972	111492
PACIFIC	ATLANTIC	scaffold8	500001	1000000	0.02072680057066829	4528	5172	249532	56196
PACIFIC	ATLANTIC	scaffold9	1	500000	0.01395686175580222	6099	4426	317120	174656
PACIFIC	ATLANTIC	scaffold10	1	500000	0.021979532910373002	3541	4476	203644	54660
PACIFIC	ATLANTIC	scaffold10	500001	1000000	0.008092539836583914	2302	1034	127772	27428
PACIFIC	ATLANTIC	scaffold11	1	500000	0.020635481915538493	3116	3268	158368	66080
PACIFIC	ATLANTIC	scaffold12	1	500000	0.012947316819977508	4140	1796	138716	201252
PACIFIC	ATLANTIC	scaffold12	500001	1000000	0.0071334983258116175	1931	588	82428	46276
PACIFIC	ATLANTIC	scaffold13	1	500000	0.00764306869207987	1620	640	83736	39784
PACIFIC	ATLANTIC	scaffold13	500001	1000000	0.010602044680045438	662	448	42256	176
PACIFIC	ATLANTIC	scaffold14	1	500000	0.01107925931664988	1544	572	51628	117268
PACIFIC	ATLANTIC	scaffold15	1	500000	0.01786061588330632	3243	2204	123400	137464
PACIFIC	ATLANTIC	scaffold16	1	500000	0.01695070719671259	3790	3696	218044	37828
PACIFIC	ATLANTIC	scaffold16	500001	1000000	0.0	1722	0	86732	47860
PACIFIC	ATLANTIC	scaffold17	1	500000	0.004127672525298638	2968	434	105144	177032
PACIFIC	ATLANTIC	scaffold18	1	500000	0.008483454082631682	7455	3466	408560	95568
PACIFIC	ATLANTIC	scaffold19	1	500000	0.018269636492588903	7972	8140	445548	99668
PACIFIC	ATLANTIC	scaffold20	1	500000	0.021321597925834955	2263	2500	117252	53564
PACIFIC	ATLANTIC	scaffold21	1	500000	0.006402154525803517	6644	2168	338636	127092
PACIFIC	ATLANTIC	scaffold22	1	500000	0.00859435385917774	5381	1868	217352	188984
PACIFIC	ATLANTIC	scaffold23	1	500000	0.0103382502543235	2785	1626	157280	38816
PACIFIC	ATLANTIC	scaffold24	1	500000	0.019582864253125557	1474	1322	67508	62028
PACIFIC	ATLANTIC	scaffold25	1	500000	0.015194224194369681	4103	3342	219952	97936
PACIFIC	ATLANTIC	scaffold26	1	500000	0.0011324258827259755	3968	200	176612	126428
PACIFIC	ATLANTIC	scaffold27	1	500000	0.011954470056626438	5934	4180	349660	60772
PACIFIC	ATLANTIC	scaffold27	500001	1000000	0.0038253197073770035	1376	274	71628	22324
PACIFIC	ATLANTIC	scaffold28	1	500000	0.025323862119936768	3420	4934	194836	35500
PACIFIC	ATLANTIC	scaffold29	1	500000	0.027796271637816245	2516	3340	120160	98272
PACIFIC	ATLANTIC	scaffold30	1	500000	0.0032738032780004617	7758	1248	381208	228200
PACIFIC	ATLANTIC	scaffold30	500001	1000000	0.013702045550629274	6691	5056	368996	81372
PACIFIC	ATLANTIC	scaffold31	1	500000	0.012438668742241227	7456	5050	405992	93016
PACIFIC	ATLANTIC	scaffold32	1	500000	0.02060214088300902	5161	5874	285116	73220
PACIFIC	ATLANTIC	scaffold33	1	500000	0.004450738417964798	3487	528	118632	201432
PACIFIC	ATLANTIC	scaffold34	1	500000	0.014398261342026623	3131	2544	176688	40784
PACIFIC	ATLANTIC	scaffold35	1	500000	0.0010641781270464964	1694	78	73296	84528
PACIFIC	ATLANTIC	scaffold35	500001	1000000	0.024205346455645697	2504	3640	150380	16276
PACIFIC	ATLANTIC	scaffold36	1	500000	0.019314948566425915	996	706	36552	89336
PACIFIC	ATLANTIC	scaffold37	1	500000	0.005823519224108071	6583	2152	369536	103360
PACIFIC	ATLANTIC	scaffold38	1	500000	0.017820389900926815	5575	5576	312900	53180
PACIFIC	ATLANTIC	scaffold39	1	500000	0.00883093113703958	1900	772	87420	53828
PACIFIC	ATLANTIC	scaffold41	1	500000	0.006374926249442374	5388	1772	277964	121588
PACIFIC	ATLANTIC	scaffold42	1	500000	0.01374211517981486	4859	2684	195312	243408
PACIFIC	ATLANTIC	scaffold42	500001	1000000	0.010227547809247155	3224	1690	165240	61896
PACIFIC	ATLANTIC	scaffold43	1	500000	0.01024006001500375	2941	1092	106640	172848
PACIFIC	ATLANTIC	scaffold44	1	500000	0.008644932819497969	6475	2988	345636	104476
PACIFIC	ATLANTIC	scaffold46	1	500000	0.009103733350829998	5413	2220	243856	147184
PACIFIC	ATLANTIC	scaffold47	1	500000	0.005482235545004628	3844	1090	198824	61784
PACIFIC	ATLANTIC	scaffold48	1	500000	0.004200918762088975	4611	1112	264704	105344
PACIFIC	ATLANTIC	scaffold49	1	500000	0.015300002263313944	4323	2704	176732	170660
PACIFIC	ATLANTIC	scaffold50	1	500000	0.01008760286700292	1092	456	45204	40172
PACIFIC	ATLANTIC	scaffold51	1	500000	0.008841206312661463	6071	2642	298828	169588
PACIFIC	ATLANTIC	scaffold52	1	500000	0.0007814535035165407	478	12	15356	33156
PACIFIC	ATLANTIC	scaffold53	1	500000	0.007728225652753954	8160	3244	419760	124624
PACIFIC	ATLANTIC	scaffold54	1	500000	0.014619518459869578	5960	4690	320804	83612
PACIFIC	ATLANTIC	scaffold55	1	500000	0.012640449438202247	3764	2466	195088	66224
PACIFIC	ATLANTIC	scaffold56	1	500000	0.0257680160780936	1405	2154	83592	16312
PACIFIC	ATLANTIC	scaffold57	1	500000	0.02381530394251311	4252	5886	247152	46864
PACIFIC	ATLANTIC	scaffold58	1	500000	0.014963759644610709	534	256	17108	32940
PACIFIC	ATLANTIC	scaffold59	1	500000	0.009242279762341378	2339	1008	109064	169080
PACIFIC	ATLANTIC	scaffold60	1	500000	0.004182472522128198	2565	344	82248	243064
PACIFIC	ATLANTIC	scaffold61	1	500000	0.01082604267925751	6738	3742	345648	277584
PACIFIC	ATLANTIC	scaffold62	1	500000	0.003417157529074158	2140	362	105936	137456
PACIFIC	ATLANTIC	scaffold63	1	500000	0.011395310706673226	1778	1112	97584	17872
PACIFIC	ATLANTIC	scaffold64	1	500000	0.015500489305186636	2119	1774	114448	39152
PACIFIC	ATLANTIC	scaffold65	1	500000	0.022634730538922156	2742	3024	133600	152928
PACIFIC	ATLANTIC	scaffold66	1	500000	0.01631530320846632	3409	3108	190496	47072
PACIFIC	ATLANTIC	scaffold67	1	500000	0.027213680835320234	3322	5296	194608	31248
PACIFIC	ATLANTIC	scaffold68	1	500000	0.007976496975249167	5030	2020	253244	78660
PACIFIC	ATLANTIC	scaffold69	1	500000	0.015980331899200985	1280	1040	65080	21704
PACIFIC	ATLANTIC	scaffold70	1	500000	0.005121212121212121	2788	676	132000	160864
PACIFIC	ATLANTIC	scaffold71	1	500000	0.005286816433232025	7216	1990	376408	127656
PACIFIC	ATLANTIC	scaffold72	1	500000	0.018215952115375553	6071	4638	254612	685868
PACIFIC	ATLANTIC	scaffold73	1	500000	0.016410550757911764	2633	2516	153316	679772
PACIFIC	ATLANTIC	scaffold74	1	500000	0.021777204221781813	6172	7560	347152	72752
PACIFIC	ATLANTIC	scaffold75	1	500000	0.015232092443043792	5120	2784	182772	288268
PACIFIC	ATLANTIC	scaffold75	500001	1000000	0.017543859649122806	57	64	3648	1344
PACIFIC	ATLANTIC	scaffold76	1	500000	0.027506722178853325	3375	5074	184464	83312
